"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","126","test_case","test_order_management","TestAdhocOrder","","","默认地址为空",""
"passed","Thu Jun 03 11:48:50 CST 2021","Thu Jun 03 11:48:50 CST 2021","450","test_case","test_material_management","TestGoods","","","skuCode重复","skuCode重复"
"passed","Thu Jun 03 11:48:58 CST 2021","Thu Jun 03 11:48:58 CST 2021","246","test_case","test_material_management","TestKitTemplate","","","test_13","工具包类型为空"
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","161","test_case","test_order_management","TestAdhocOrder","","","默认地址错误",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","91","test_case","test_order_management","TestAdhocOrder","","","收货地区为空",""
"broken","Thu Jun 03 11:49:22 CST 2021","Thu Jun 03 11:49:22 CST 2021","0","test_case","test_order_management","TestAdhocOrder","","","身份证为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","商品数量为空",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","56","test_case","test_order_management","TestAdhocOrder","","","地址ID为空",""
"passed","Thu Jun 03 11:48:59 CST 2021","Thu Jun 03 11:49:00 CST 2021","199","test_case","test_material_management","TestPackagingOrder","","","仓库未选择",""
"passed","Thu Jun 03 11:49:11 CST 2021","Thu Jun 03 11:49:11 CST 2021","82","test_case","test_order_management","TestAdhocOrder","","","性别为空",""
"broken","Thu Jun 03 11:49:22 CST 2021","Thu Jun 03 11:49:22 CST 2021","1","test_case","test_order_management","TestAdhocOrder","","","身份证错误",""
"passed","Thu Jun 03 11:49:08 CST 2021","Thu Jun 03 11:49:08 CST 2021","120","test_case","test_order_management","TestAdhocOrder","","","重复拒绝",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","249","test_case","test_order_management","TestAdhocOrder","","","收货地区为空",""
"passed","Thu Jun 03 11:49:08 CST 2021","Thu Jun 03 11:49:08 CST 2021","59","test_case","test_order_management","TestAdhocOrder","","","拒绝原因为空",""
"passed","Thu Jun 03 11:49:20 CST 2021","Thu Jun 03 11:49:20 CST 2021","81","test_case","test_order_management","TestAdhocOrder","","","收件人名字为空",""
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","50","test_case","test_order_management","TestAdhocOrder","","","详细地址为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","重复关闭订单",""
"passed","Thu Jun 03 11:48:48 CST 2021","Thu Jun 03 11:48:48 CST 2021","290","test_case","test_material_management","TestGoods","","","型号为空","型号为空"
"passed","Thu Jun 03 11:48:47 CST 2021","Thu Jun 03 11:48:47 CST 2021","90","test_case","test_material_management","TestGoods","","","产地为空","产地为空"
"passed","Thu Jun 03 11:49:19 CST 2021","Thu Jun 03 11:49:19 CST 2021","125","test_case","test_order_management","TestAdhocOrder","","","收件人名字为空",""
"passed","Thu Jun 03 11:48:46 CST 2021","Thu Jun 03 11:48:46 CST 2021","76","test_case","test_material_management","TestGoods","","","skuCode为空","skuCode为空"
"passed","Thu Jun 03 11:49:21 CST 2021","Thu Jun 03 11:49:21 CST 2021","236","test_case","test_order_management","TestAdhocOrder","","","手机号为空",""
"passed","Thu Jun 03 11:48:54 CST 2021","Thu Jun 03 11:48:55 CST 2021","234","test_case","test_material_management","TestGoods","","","price:临调价为0","临调价为0"
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","180","test_case","test_order_management","TestAdhocOrder","","","收货方式为空",""
"passed","Thu Jun 03 11:48:53 CST 2021","Thu Jun 03 11:48:53 CST 2021","69","test_case","test_material_management","TestGoods","","","Edit：存储条件为空","存储条件为空"
"passed","Thu Jun 03 11:49:15 CST 2021","Thu Jun 03 11:49:15 CST 2021","221","test_case","test_order_management","TestAdhocOrder","","","id错误",""
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:51 CST 2021","119","test_case","test_material_management","TestGoods","","","Edit：物资类别为空","物资类别为空"
"passed","Thu Jun 03 11:48:49 CST 2021","Thu Jun 03 11:48:49 CST 2021","254","test_case","test_material_management","TestGoods","","","注册证号为空","注册证号为空"
"passed","Thu Jun 03 11:48:53 CST 2021","Thu Jun 03 11:48:53 CST 2021","75","test_case","test_material_management","TestGoods","","","Edit：注册证照为空","注册证照为空"
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:51 CST 2021","304","test_case","test_material_management","TestGoods","","","注册证已失效","注册证已失效"
"passed","Thu Jun 03 11:49:15 CST 2021","Thu Jun 03 11:49:15 CST 2021","164","test_case","test_order_management","TestAdhocOrder","","","套包数量为空",""
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:51 CST 2021","174","test_case","test_material_management","TestGoods","","","Edit：商品名为空","商品名为空"
"passed","Thu Jun 03 11:48:47 CST 2021","Thu Jun 03 11:48:47 CST 2021","107","test_case","test_material_management","TestGoods","","","生产企业为空","生产企业为空"
"passed","Thu Jun 03 11:49:04 CST 2021","Thu Jun 03 11:49:04 CST 2021","191","test_case","test_order_management","TestAdhocOrder","","","医院为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","经销商：驳回理由为空",""
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","189","test_case","test_order_management","TestAdhocOrder","","","年龄段为空",""
"passed","Thu Jun 03 11:48:54 CST 2021","Thu Jun 03 11:48:54 CST 2021","61","test_case","test_material_management","TestGoods","","","di码 少于14位","di码 少于14位"
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","供应商：调拨单ID为空",""
"passed","Thu Jun 03 11:49:06 CST 2021","Thu Jun 03 11:49:06 CST 2021","124","test_case","test_order_management","TestAdhocOrder","","","性别为空",""
"passed","Thu Jun 03 11:48:46 CST 2021","Thu Jun 03 11:48:46 CST 2021","330","test_case","test_material_management","TestGoods","","","物资名称为空","物资名称为空"
"passed","Thu Jun 03 11:49:11 CST 2021","Thu Jun 03 11:49:11 CST 2021","167","test_case","test_order_management","TestAdhocOrder","","","联系人电话为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","工具包数量过大",""
"passed","Thu Jun 03 11:48:49 CST 2021","Thu Jun 03 11:48:50 CST 2021","280","test_case","test_material_management","TestGoods","","","test_1401","参数异常"
"passed","Thu Jun 03 11:48:58 CST 2021","Thu Jun 03 11:48:58 CST 2021","130","test_case","test_material_management","TestKitTemplate","","","test_12","生产企业为空"
"passed","Thu Jun 03 11:48:47 CST 2021","Thu Jun 03 11:48:47 CST 2021","139","test_case","test_material_management","TestGoods","","","基本单位为空","基本单位为空"
"passed","Thu Jun 03 11:48:54 CST 2021","Thu Jun 03 11:48:54 CST 2021","209","test_case","test_material_management","TestGoods","","","price:折扣率为0","折扣率为0"
"passed","Thu Jun 03 11:49:13 CST 2021","Thu Jun 03 11:49:14 CST 2021","177","test_case","test_order_management","TestAdhocOrder","","","临调单ID为空",""
"passed","Thu Jun 03 11:49:12 CST 2021","Thu Jun 03 11:49:12 CST 2021","150","test_case","test_order_management","TestAdhocOrder","","","默认地址错误",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","经销商：调拨单ID为空",""
"passed","Thu Jun 03 11:49:12 CST 2021","Thu Jun 03 11:49:12 CST 2021","81","test_case","test_order_management","TestAdhocOrder","","","手术时间为空",""
"passed","Thu Jun 03 11:48:53 CST 2021","Thu Jun 03 11:48:53 CST 2021","51","test_case","test_material_management","TestGoods","","","Edit：参数异常"," 参数异常"
"passed","Thu Jun 03 11:48:52 CST 2021","Thu Jun 03 11:48:52 CST 2021","263","test_case","test_material_management","TestGoods","","","Edit：生产企业为空","生产企业为空"
"passed","Thu Jun 03 11:49:03 CST 2021","Thu Jun 03 11:49:03 CST 2021","40","test_case","test_order_management","TestAdhocOrder","","","物资id为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","编辑未驳回订单",""
"passed","Thu Jun 03 11:48:56 CST 2021","Thu Jun 03 11:48:56 CST 2021","59","test_case","test_material_management","TestKitTemplate","","","test_01","商品ID 为空"
"passed","Thu Jun 03 11:48:57 CST 2021","Thu Jun 03 11:48:57 CST 2021","531","test_case","test_material_management","TestKitTemplate","","","test_0601","工具包类型异常"
"passed","Thu Jun 03 11:49:12 CST 2021","Thu Jun 03 11:49:12 CST 2021","80","test_case","test_order_management","TestAdhocOrder","","","归还时间为空",""
"passed","Thu Jun 03 11:49:20 CST 2021","Thu Jun 03 11:49:20 CST 2021","113","test_case","test_order_management","TestAdhocOrder","","","详细地址为空",""
"passed","Thu Jun 03 11:48:56 CST 2021","Thu Jun 03 11:48:56 CST 2021","100","test_case","test_material_management","TestKitTemplate","","","test_03","工具包名字 为空"
"passed","Thu Jun 03 11:49:05 CST 2021","Thu Jun 03 11:49:06 CST 2021","144","test_case","test_order_management","TestAdhocOrder","","","品牌为空",""
"passed","Thu Jun 03 11:49:04 CST 2021","Thu Jun 03 11:49:04 CST 2021","190","test_case","test_order_management","TestAdhocOrder","","","医院名字超长",""
"passed","Thu Jun 03 11:48:48 CST 2021","Thu Jun 03 11:48:49 CST 2021","375","test_case","test_material_management","TestGoods","","","注册证照为空","注册证照为空"
"passed","Thu Jun 03 11:49:10 CST 2021","Thu Jun 03 11:49:10 CST 2021","209","test_case","test_order_management","TestAdhocOrder","","","手术部位为空",""
"passed","Thu Jun 03 11:49:03 CST 2021","Thu Jun 03 11:49:04 CST 2021","199","test_case","test_order_management","TestAdhocOrder","","","物资、套包为空",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","经销商：驳回理由超长",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","经销商：审核建议为空",""
"passed","Thu Jun 03 11:49:18 CST 2021","Thu Jun 03 11:49:18 CST 2021","216","test_case","test_order_management","TestAdhocOrder","","","重复关闭订单",""
"passed","Thu Jun 03 11:49:12 CST 2021","Thu Jun 03 11:49:12 CST 2021","55","test_case","test_order_management","TestAdhocOrder","","","手术日期小于当天",""
"passed","Thu Jun 03 11:49:20 CST 2021","Thu Jun 03 11:49:21 CST 2021","190","test_case","test_order_management","TestAdhocOrder","","","收件人名字为空",""
"passed","Thu Jun 03 11:49:04 CST 2021","Thu Jun 03 11:49:05 CST 2021","495","test_case","test_order_management","TestAdhocOrder","","","手术部位为空",""
"broken","Thu Jun 03 11:49:22 CST 2021","Thu Jun 03 11:49:22 CST 2021","0","test_case","test_order_management","TestAdhocOrder","","","提货人电话错误",""
"broken","Thu Jun 03 11:49:24 CST 2021","Thu Jun 03 11:49:24 CST 2021","0","test_case","test_purchase_management","TestAllocateOrder","","","来源仓库错误",""
"passed","Thu Jun 03 11:49:12 CST 2021","Thu Jun 03 11:49:13 CST 2021","131","test_case","test_order_management","TestAdhocOrder","","","商品/套包数量为空",""
"passed","Thu Jun 03 11:49:08 CST 2021","Thu Jun 03 11:49:08 CST 2021","102","test_case","test_order_management","TestAdhocOrder","","","拒绝成功",""
"passed","Thu Jun 03 11:49:22 CST 2021","Thu Jun 03 11:49:22 CST 2021","82","test_case","test_order_management","TestAdhocOrder","","","id为空",""
"passed","Thu Jun 03 11:49:09 CST 2021","Thu Jun 03 11:49:10 CST 2021","235","test_case","test_order_management","TestAdhocOrder","","","商品不存在",""
"passed","Thu Jun 03 11:49:16 CST 2021","Thu Jun 03 11:49:16 CST 2021","163","test_case","test_order_management","TestAdhocOrder","","","套包ID为空",""
"passed","Thu Jun 03 11:49:08 CST 2021","Thu Jun 03 11:49:08 CST 2021","110","test_case","test_order_management","TestAdhocOrder","","","临调单ID错误",""
"passed","Thu Jun 03 11:49:16 CST 2021","Thu Jun 03 11:49:17 CST 2021","359","test_case","test_order_management","TestAdhocOrder","","","重复接收订单",""
"passed","Thu Jun 03 11:49:13 CST 2021","Thu Jun 03 11:49:13 CST 2021","171","test_case","test_order_management","TestAdhocOrder","","","商品/套包数量为空",""
"passed","Thu Jun 03 11:49:11 CST 2021","Thu Jun 03 11:49:11 CST 2021","123","test_case","test_order_management","TestAdhocOrder","","","年龄段为空",""
"passed","Thu Jun 03 11:49:11 CST 2021","Thu Jun 03 11:49:11 CST 2021","70","test_case","test_order_management","TestAdhocOrder","","","医生名称过长",""
"passed","Thu Jun 03 11:49:07 CST 2021","Thu Jun 03 11:49:07 CST 2021","173","test_case","test_order_management","TestAdhocOrder","","","归还时间小于手术开始时间",""
"passed","Thu Jun 03 11:49:19 CST 2021","Thu Jun 03 11:49:20 CST 2021","105","test_case","test_order_management","TestAdhocOrder","","","收货地区为空",""
"passed","Thu Jun 03 11:48:54 CST 2021","Thu Jun 03 11:48:54 CST 2021","101","test_case","test_material_management","TestGoods","","","price:商品ID为空","商品ID为空"
"passed","Thu Jun 03 11:49:03 CST 2021","Thu Jun 03 11:49:03 CST 2021","183","test_case","test_order_management","TestAdhocOrder","","","套包ID错误",""
"passed","Thu Jun 03 11:49:10 CST 2021","Thu Jun 03 11:49:10 CST 2021","157","test_case","test_order_management","TestAdhocOrder","","","医院名称为空",""
"passed","Thu Jun 03 11:49:09 CST 2021","Thu Jun 03 11:49:09 CST 2021","230","test_case","test_order_management","TestAdhocOrder","","","工具包不存在",""
"passed","Thu Jun 03 11:49:17 CST 2021","Thu Jun 03 11:49:17 CST 2021","269","test_case","test_order_management","TestAdhocOrder","","","商品数量错误",""
"passed","Thu Jun 03 11:49:20 CST 2021","Thu Jun 03 11:49:20 CST 2021","170","test_case","test_order_management","TestAdhocOrder","","","详细地址为空",""
"passed","Thu Jun 03 11:48:58 CST 2021","Thu Jun 03 11:48:58 CST 2021","136","test_case","test_material_management","TestKitTemplate","","","test_08","工具包ID为空"
"passed","Thu Jun 03 11:48:54 CST 2021","Thu Jun 03 11:48:54 CST 2021","95","test_case","test_material_management","TestGoods","","","di码：商品ID为空","商品ID为空"
"passed","Thu Jun 03 11:48:58 CST 2021","Thu Jun 03 11:48:58 CST 2021","91","test_case","test_material_management","TestKitTemplate","","","test_11","工具包描述为空"
"passed","Thu Jun 03 11:49:19 CST 2021","Thu Jun 03 11:49:19 CST 2021","81","test_case","test_order_management","TestAdhocOrder","","","订单ID错误",""
"passed","Thu Jun 03 11:49:13 CST 2021","Thu Jun 03 11:49:13 CST 2021","118","test_case","test_order_management","TestAdhocOrder","","","商品/套包数量为空",""
"passed","Thu Jun 03 11:48:51 CST 2021","Thu Jun 03 11:48:52 CST 2021","170","test_case","test_material_management","TestGoods","","","Edit：养护类型为空","养护类型为空"
"passed","Thu Jun 03 11:48:59 CST 2021","Thu Jun 03 11:48:59 CST 2021","272","test_case","test_material_management","TestPackagingOrder","","","正向流程",""
